Teacher Quality,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Teachers,Number of Inexperienced Teachers,Percent of Out-of-Field Teachers,Number of Out-of-Field Teachers,Percent of Out-of-Field and Inexperienced Teachers,Number of Out-of-Field and Inexperienced Teachers
2023 - 2024,SCH,Henrico County Public Schools,Holman Middle ,Low Poverty,All Schools,1.7,1,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Holman Middle ,Low Poverty,Non-Title I,1.7,1,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Hungary Creek Middle ,Medium Poverty,All Schools,6.9,5,2.8,2,0,0
2023 - 2024,SCH,Henrico County Public Schools,Hungary Creek Middle ,Medium Poverty,Non-Title I,6.9,5,2.8,2,0,0
2023 - 2024,SCH,Henrico County Public Schools,Jackson Davis Elementary,Medium Poverty,All Schools,8.3,3,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Jackson Davis Elementary,Medium Poverty,Non-Title I,8.3,3,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Jacob L. Adams Elementary,High Poverty,All Schools,3.2,1,9.7,3,0,0
2023 - 2024,SCH,Henrico County Public Schools,Jacob L. Adams Elementary,High Poverty,Title I,3.2,1,9.7,3,0,0
2023 - 2024,SCH,Henrico County Public Schools,John Randolph Tucker High,High Poverty,All Schools,3.3,4,0.8,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,John Randolph Tucker High,High Poverty,Non-Title I,3.3,4,0.8,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,John Rolfe Middle,High Poverty,All Schools,4.9,4,9.9,8,0,0
2023 - 2024,SCH,Henrico County Public Schools,John Rolfe Middle,High Poverty,Non-Title I,4.9,4,9.9,8,0,0
2023 - 2024,SCH,Henrico County Public Schools,L. Douglas Wilder Middle,High Poverty,All Schools,1.2,1,14.8,12,0,0
2023 - 2024,SCH,Henrico County Public Schools,L. Douglas Wilder Middle,High Poverty,Non-Title I,1.2,1,14.8,12,0,0
2023 - 2024,SCH,Henrico County Public Schools,Laburnum Elementary,Medium Poverty,All Schools,2.6,1,13.2,5,0,0
2023 - 2024,SCH,Henrico County Public Schools,Laburnum Elementary,Medium Poverty,Title I,2.6,1,13.2,5,0,0
2023 - 2024,SCH,Henrico County Public Schools,Lakeside Elementary,High Poverty,All Schools,6.3,2,3.1,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Lakeside Elementary,High Poverty,Title I,6.3,2,3.1,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Longdale Elementary,Medium Poverty,All Schools,0,0,5.3,2,0,0
2023 - 2024,SCH,Henrico County Public Schools,Longdale Elementary,Medium Poverty,Title I,0,0,5.3,2,0,0
2023 - 2024,SCH,Henrico County Public Schools,Maude Trevvett Elementary,High Poverty,All Schools,5.9,2,2.9,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Maude Trevvett Elementary,High Poverty,Non-Title I,5.9,2,2.9,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Maybeury Elementary,Medium Poverty,All Schools,2.7,1,2.7,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Maybeury Elementary,Medium Poverty,Non-Title I,2.7,1,2.7,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Mills E. Godwin High,Low Poverty,All Schools,1.9,2,0.9,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Mills E. Godwin High,Low Poverty,Non-Title I,1.9,2,0.9,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Montrose Elementary,Medium Poverty,All Schools,0,0,10.3,3,0,0
2023 - 2024,SCH,Henrico County Public Schools,Montrose Elementary,Medium Poverty,Title I,0,0,10.3,3,0,0
2023 - 2024,SCH,Henrico County Public Schools,Nuckols Farm Elementary,Low Poverty,All Schools,2.8,1,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Nuckols Farm Elementary,Low Poverty,Non-Title I,2.8,1,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Pemberton Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Pemberton Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Pinchbeck Elementary,Medium Poverty,All Schools,2.9,1,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Pinchbeck Elementary,Medium Poverty,Non-Title I,2.9,1,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Pocahontas Middle,Low Poverty,All Schools,0,0,3.3,2,0,0
2023 - 2024,SCH,Henrico County Public Schools,Pocahontas Middle,Low Poverty,Non-Title I,0,0,3.3,2,0,0
2023 - 2024,SCH,Henrico County Public Schools,Quioccasin Middle,High Poverty,All Schools,5.9,5,5.9,5,0,0
2023 - 2024,SCH,Henrico County Public Schools,Quioccasin Middle,High Poverty,Non-Title I,5.9,5,5.9,5,0,0
2023 - 2024,SCH,Henrico County Public Schools,R.C. Longan Elementary,Medium Poverty,All Schools,5.9,2,5.9,2,0,0
2023 - 2024,SCH,Henrico County Public Schools,R.C. Longan Elementary,Medium Poverty,Title I,5.9,2,5.9,2,0,0
2023 - 2024,SCH,Henrico County Public Schools,Ridge Elementary,Medium Poverty,All Schools,0,0,2.9,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Ridge Elementary,Medium Poverty,Title I,0,0,2.9,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Rivers Edge Elementary,Low Poverty,All Schools,2.2,1,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Rivers Edge Elementary,Low Poverty,Non-Title I,2.2,1,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Ruby F. Carver Elementary,High Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Ruby F. Carver Elementary,High Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Sandston Elementary,High Poverty,All Schools,15,3,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Sandston Elementary,High Poverty,Title I,15,3,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Seven Pines Elementary,High Poverty,All Schools,4,1,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Seven Pines Elementary,High Poverty,Title I,4,1,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Shady Grove Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Shady Grove Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Short Pump Elementary,Low Poverty,All Schools,5.4,2,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Short Pump Elementary,Low Poverty,Non-Title I,5.4,2,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Short Pump Middle,Low Poverty,All Schools,1.4,1,5.4,4,0,0
2023 - 2024,SCH,Henrico County Public Schools,Short Pump Middle,Low Poverty,Non-Title I,1.4,1,5.4,4,0,0
2023 - 2024,SCH,Henrico County Public Schools,Skipwith Elementary,High Poverty,All Schools,8.1,3,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Skipwith Elementary,High Poverty,Non-Title I,8.1,3,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Springfield Park Elementary,Medium Poverty,All Schools,2.7,1,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Springfield Park Elementary,Medium Poverty,Non-Title I,2.7,1,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Three Chopt Elementary,High Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Three Chopt Elementary,High Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Tuckahoe Elementary,Low Poverty,All Schools,0,0,2.4,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Tuckahoe Elementary,Low Poverty,Non-Title I,0,0,2.4,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Tuckahoe Middle,Medium Poverty,All Schools,2.5,2,1.2,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Tuckahoe Middle,Medium Poverty,Non-Title I,2.5,2,1.2,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Twin Hickory Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Twin Hickory Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Henrico County Public Schools,Varina Elementary,High Poverty,All Schools,8.3,2,4.2,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Varina Elementary,High Poverty,Non-Title I,8.3,2,4.2,1,0,0
2023 - 2024,SCH,Henrico County Public Schools,Varina High,High Poverty,All Schools,5.7,6,10.4,11,2.8,3
2023 - 2024,SCH,Henrico County Public Schools,Varina High,High Poverty,Non-Title I,5.7,6,10.4,11,2.8,3
2023 - 2024,SCH,Henry County Public Schools,Axton Elementary,High Poverty,All Schools,7.7,2,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Axton Elementary,High Poverty,Title I,7.7,2,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Bassett High,High Poverty,All Schools,9.1,8,2.3,2,1.1,1
2023 - 2024,SCH,Henry County Public Schools,Bassett High,High Poverty,Non-Title I,9.1,8,2.3,2,1.1,1
2023 - 2024,SCH,Henry County Public Schools,Campbell Court Elementary,High Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Campbell Court Elementary,High Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Drewry Mason Elementary,High Poverty,All Schools,3.7,1,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Drewry Mason Elementary,High Poverty,Title I,3.7,1,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Fieldale-Collinsville Middle ,High Poverty,All Schools,10.6,7,13.6,9,4.5,3
2023 - 2024,SCH,Henry County Public Schools,Fieldale-Collinsville Middle ,High Poverty,Non-Title I,10.6,7,13.6,9,4.5,3
2023 - 2024,SCH,Henry County Public Schools,G.W. Carver Elementary ,High Poverty,All Schools,6.1,2,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,G.W. Carver Elementary ,High Poverty,Title I,6.1,2,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Laurel Park Middle ,High Poverty,All Schools,23,14,16.4,10,9.8,6
2023 - 2024,SCH,Henry County Public Schools,Laurel Park Middle ,High Poverty,Non-Title I,23,14,16.4,10,9.8,6
2023 - 2024,SCH,Henry County Public Schools,Magna Vista High,High Poverty,All Schools,8.1,7,4.7,4,1.2,1
2023 - 2024,SCH,Henry County Public Schools,Magna Vista High,High Poverty,Non-Title I,8.1,7,4.7,4,1.2,1
2023 - 2024,SCH,Henry County Public Schools,Meadow View Elementary,High Poverty,All Schools,4.4,2,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Meadow View Elementary,High Poverty,Title I,4.4,2,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Mount Olivet Elementary ,High Poverty,All Schools,19,4,4.8,1,4.8,1
2023 - 2024,SCH,Henry County Public Schools,Mount Olivet Elementary ,High Poverty,Title I,19,4,4.8,1,4.8,1
2023 - 2024,SCH,Henry County Public Schools,Rich Acres Elementary,High Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Rich Acres Elementary,High Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Sanville Elementary,High Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Sanville Elementary,High Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Stanleytown Elementary,High Poverty,All Schools,4.3,1,0,0,0,0
2023 - 2024,SCH,Henry County Public Schools,Stanleytown Elementary,High Poverty,Title I,4.3,1,0,0,0,0
2023 - 2024,SCH,Highland County Public Schools,Highland Elementary,Medium Poverty,All Schools,0,0,25,3,0,0
2023 - 2024,SCH,Highland County Public Schools,Highland Elementary,Medium Poverty,Title I,0,0,25,3,0,0
2023 - 2024,SCH,Highland County Public Schools,Highland High,Medium Poverty,All Schools,5,1,30,6,5,1
2023 - 2024,SCH,Highland County Public Schools,Highland High,Medium Poverty,Title I,5,1,30,6,5,1
2023 - 2024,SCH,Hopewell City Public Schools,Carter G. Woodson Middle,High Poverty,All Schools,12.9,9,44.3,31,12.9,9
2023 - 2024,SCH,Hopewell City Public Schools,Carter G. Woodson Middle,High Poverty,Title I,12.9,9,44.3,31,12.9,9
2023 - 2024,SCH,Hopewell City Public Schools,Dupont Elementary,High Poverty,All Schools,14.3,7,20.4,10,12.2,6
2023 - 2024,SCH,Hopewell City Public Schools,Dupont Elementary,High Poverty,Title I,14.3,7,20.4,10,12.2,6
2023 - 2024,SCH,Hopewell City Public Schools,Harry E. James Elementary,High Poverty,All Schools,14.3,7,26.5,13,14.3,7
2023 - 2024,SCH,Hopewell City Public Schools,Harry E. James Elementary,High Poverty,Title I,14.3,7,26.5,13,14.3,7
2023 - 2024,SCH,Hopewell City Public Schools,Hopewell High,High Poverty,All Schools,13.6,11,29.6,24,12.3,10
2023 - 2024,SCH,Hopewell City Public Schools,Hopewell High,High Poverty,Non-Title I,13.6,11,29.6,24,12.3,10
2023 - 2024,SCH,Hopewell City Public Schools,Patrick Copeland Elementary,High Poverty,All Schools,10,5,22,11,10,5
2023 - 2024,SCH,Hopewell City Public Schools,Patrick Copeland Elementary,High Poverty,Title I,10,5,22,11,10,5
2023 - 2024,SCH,Isle of Wight County Public Schools,Carrollton Elementary,Low Poverty,All Schools,4,2,8,4,4,2
2023 - 2024,SCH,Isle of Wight County Public Schools,Carrollton Elementary,Low Poverty,Non-Title I,4,2,8,4,4,2
2023 - 2024,SCH,Isle of Wight County Public Schools,Carrsville Elementary,Medium Poverty,All Schools,3.7,1,0,0,0,0
2023 - 2024,SCH,Isle of Wight County Public Schools,Carrsville Elementary,Medium Poverty,Title I,3.7,1,0,0,0,0
2023 - 2024,SCH,Isle of Wight County Public Schools,Georgie D. Tyler Middle,Medium Poverty,All Schools,2.5,1,2.5,1,0,0
2023 - 2024,SCH,Isle of Wight County Public Schools,Georgie D. Tyler Middle,Medium Poverty,Non-Title I,2.5,1,2.5,1,0,0
2023 - 2024,SCH,Isle of Wight County Public Schools,Hardy Elementary,Medium Poverty,All Schools,7.3,4,10.9,6,5.5,3
2023 - 2024,SCH,Isle of Wight County Public Schools,Hardy Elementary,Medium Poverty,Title I,7.3,4,10.9,6,5.5,3
2023 - 2024,SCH,Isle of Wight County Public Schools,Smithfield High,Low Poverty,All Schools,7.2,6,9.6,8,1.2,1
2023 - 2024,SCH,Isle of Wight County Public Schools,Smithfield High,Low Poverty,Non-Title I,7.2,6,9.6,8,1.2,1
2023 - 2024,SCH,Isle of Wight County Public Schools,Smithfield Middle,Medium Poverty,All Schools,10.6,5,14.9,7,8.5,4
2023 - 2024,SCH,Isle of Wight County Public Schools,Smithfield Middle,Medium Poverty,Non-Title I,10.6,5,14.9,7,8.5,4
2023 - 2024,SCH,Isle of Wight County Public Schools,Westside Elementary,Low Poverty,All Schools,3.2,2,9.7,6,3.2,2
2023 - 2024,SCH,Isle of Wight County Public Schools,Westside Elementary,Low Poverty,Non-Title I,3.2,2,9.7,6,3.2,2
2023 - 2024,SCH,Isle of Wight County Public Schools,Windsor Elementary,Medium Poverty,All Schools,1.7,1,1.7,1,0,0
2023 - 2024,SCH,Isle of Wight County Public Schools,Windsor Elementary,Medium Poverty,Title I,1.7,1,1.7,1,0,0
2023 - 2024,SCH,Isle of Wight County Public Schools,Windsor High,Medium Poverty,All Schools,2,1,12.2,6,0,0
2023 - 2024,SCH,Isle of Wight County Public Schools,Windsor High,Medium Poverty,Non-Title I,2,1,12.2,6,0,0
2023 - 2024,SCH,King George County Public Schools,King George Elementary,Medium Poverty,All Schools,1.7,1,3.4,2,0,0
2023 - 2024,SCH,King George County Public Schools,King George Elementary,Medium Poverty,Title I,1.7,1,3.4,2,0,0
2023 - 2024,SCH,King George County Public Schools,King George High,Low Poverty,All Schools,8.7,9,21.4,22,1,1
2023 - 2024,SCH,King George County Public Schools,King George High,Low Poverty,Non-Title I,8.7,9,21.4,22,1,1
2023 - 2024,SCH,King George County Public Schools,King George Middle,Low Poverty,All Schools,4.9,4,14.6,12,0,0
2023 - 2024,SCH,King George County Public Schools,King George Middle,Low Poverty,Non-Title I,4.9,4,14.6,12,0,0
2023 - 2024,SCH,King George County Public Schools,Potomac Elementary,Low Poverty,All Schools,0,0,5.3,2,0,0
2023 - 2024,SCH,King George County Public Schools,Potomac Elementary,Low Poverty,Title I,0,0,5.3,2,0,0
2023 - 2024,SCH,King George County Public Schools,Sealston Elementary ,Low Poverty,All Schools,7.8,4,11.8,6,3.9,2
2023 - 2024,SCH,King George County Public Schools,Sealston Elementary ,Low Poverty,Title I,7.8,4,11.8,6,3.9,2
2023 - 2024,SCH,King William County Public Schools,Acquinton Elementary,Medium Poverty,All Schools,0,0,28.1,9,0,0
2023 - 2024,SCH,King William County Public Schools,Acquinton Elementary,Medium Poverty,Non-Title I,0,0,28.1,9,0,0
2023 - 2024,SCH,King William County Public Schools,Cool Spring Primary,Medium Poverty,All Schools,0,0,8.6,3,0,0
2023 - 2024,SCH,King William County Public Schools,Cool Spring Primary,Medium Poverty,Title I,0,0,8.6,3,0,0
2023 - 2024,SCH,King William County Public Schools,Hamilton Holmes Middle,Medium Poverty,All Schools,0,0,37.8,14,0,0
2023 - 2024,SCH,King William County Public Schools,Hamilton Holmes Middle,Medium Poverty,Non-Title I,0,0,37.8,14,0,0
2023 - 2024,SCH,King William County Public Schools,King William High,Medium Poverty,All Schools,0,0,6.1,3,0,0
2023 - 2024,SCH,King William County Public Schools,King William High,Medium Poverty,Non-Title I,0,0,6.1,3,0,0
2023 - 2024,SCH,King and Queen County Public Schools,Central High,High Poverty,All Schools,11.4,4,14.3,5,8.6,3
2023 - 2024,SCH,King and Queen County Public Schools,Central High,High Poverty,Non-Title I,11.4,4,14.3,5,8.6,3
2023 - 2024,SCH,King and Queen County Public Schools,King & Queen Elementary,High Poverty,All Schools,0,0,4.9,2,0,0
2023 - 2024,SCH,King and Queen County Public Schools,King & Queen Elementary,High Poverty,Title I,0,0,4.9,2,0,0
2023 - 2024,SCH,King and Queen County Public Schools,Lawson-Marriott Elementary,High Poverty,All Schools,2.2,1,8.7,4,2.2,1
2023 - 2024,SCH,King and Queen County Public Schools,Lawson-Marriott Elementary,High Poverty,Title I,2.2,1,8.7,4,2.2,1
2023 - 2024,SCH,Lancaster County Public Schools,Lancaster Elementary,High Poverty,All Schools,11.4,5,15.9,7,9.1,4
2023 - 2024,SCH,Lancaster County Public Schools,Lancaster Elementary,High Poverty,Title I,11.4,5,15.9,7,9.1,4
2023 - 2024,SCH,Lancaster County Public Schools,Lancaster High,High Poverty,All Schools,20.6,7,26.5,9,8.8,3
2023 - 2024,SCH,Lancaster County Public Schools,Lancaster High,High Poverty,Non-Title I,20.6,7,26.5,9,8.8,3
2023 - 2024,SCH,Lee County Public Schools,Dryden Elementary,High Poverty,All Schools,3.3,1,3.3,1,0,0
2023 - 2024,SCH,Lee County Public Schools,Dryden Elementary,High Poverty,Title I,3.3,1,3.3,1,0,0
2023 - 2024,SCH,Lee County Public Schools,Elk Knob Elementary,High Poverty,All Schools,0,0,8,2,0,0
2023 - 2024,SCH,Lee County Public Schools,Elk Knob Elementary,High Poverty,Title I,0,0,8,2,0,0
2023 - 2024,SCH,Lee County Public Schools,Elydale Middle,High Poverty,All Schools,4.2,1,8.3,2,0,0
2023 - 2024,SCH,Lee County Public Schools,Elydale Middle,High Poverty,Title I,4.2,1,8.3,2,0,0
2023 - 2024,SCH,Lee County Public Schools,Flatwoods Elementary,High Poverty,All Schools,3.1,1,0,0,0,0
2023 - 2024,SCH,Lee County Public Schools,Flatwoods Elementary,High Poverty,Title I,3.1,1,0,0,0,0
2023 - 2024,SCH,Lee County Public Schools,Jonesville Middle,High Poverty,All Schools,7.4,2,7.4,2,0,0
2023 - 2024,SCH,Lee County Public Schools,Jonesville Middle,High Poverty,Title I,7.4,2,7.4,2,0,0
2023 - 2024,SCH,Lee County Public Schools,Lee High,High Poverty,All Schools,4.5,5,8.9,10,0.9,1
2023 - 2024,SCH,Lee County Public Schools,Lee High,High Poverty,Non-Title I,4.5,5,8.9,10,0.9,1
2023 - 2024,SCH,Lee County Public Schools,Pennington Middle,High Poverty,All Schools,0,0,5.9,2,0,0
2023 - 2024,SCH,Lee County Public Schools,Pennington Middle,High Poverty,Title I,0,0,5.9,2,0,0
2023 - 2024,SCH,Lee County Public Schools,Rose Hill Elementary,High Poverty,All Schools,4,1,0,0,0,0
2023 - 2024,SCH,Lee County Public Schools,Rose Hill Elementary,High Poverty,Title I,4,1,0,0,0,0
2023 - 2024,SCH,Lee County Public Schools,St. Charles Elementary,High Poverty,All Schools,6.7,1,0,0,0,0
2023 - 2024,SCH,Lee County Public Schools,St. Charles Elementary,High Poverty,Title I,6.7,1,0,0,0,0
2023 - 2024,SCH,Lee County Public Schools,Thomas Walker High,High Poverty,All Schools,6.3,3,18.8,9,0,0
2023 - 2024,SCH,Lee County Public Schools,Thomas Walker High,High Poverty,Non-Title I,6.3,3,18.8,9,0,0
2023 - 2024,SCH,Lexington City Public Schools,Harrington Waddell Elementary,Low Poverty,All Schools,4,1,0,0,0,0
2023 - 2024,SCH,Lexington City Public Schools,Harrington Waddell Elementary,Low Poverty,Title I,4,1,0,0,0,0
2023 - 2024,SCH,Lexington City Public Schools,Lylburn Downing Middle,Low Poverty,All Schools,5.3,1,0,0,0,0
2023 - 2024,SCH,Lexington City Public Schools,Lylburn Downing Middle,Low Poverty,Non-Title I,5.3,1,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Aldie Elementary,Low Poverty,All Schools,0,0,4.3,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Aldie Elementary,Low Poverty,Non-Title I,0,0,4.3,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Algonkian Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Algonkian Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Arcola Elementary,Low Poverty,All Schools,2.7,2,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Arcola Elementary,Low Poverty,Non-Title I,2.7,2,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Ashburn Elementary,Low Poverty,All Schools,1.8,1,1.8,1,1.8,1
2023 - 2024,SCH,Loudoun County Public Schools,Ashburn Elementary,Low Poverty,Non-Title I,1.8,1,1.8,1,1.8,1
2023 - 2024,SCH,Loudoun County Public Schools,Ball's Bluff Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Ball's Bluff Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Banneker Elementary,Medium Poverty,All Schools,3.7,1,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Banneker Elementary,Medium Poverty,Non-Title I,3.7,1,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Belmont Ridge Middle,Low Poverty,All Schools,0,0,2.2,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Belmont Ridge Middle,Low Poverty,Non-Title I,0,0,2.2,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Belmont Station Elementary ,Low Poverty,All Schools,7.6,5,6.1,4,3,2
2023 - 2024,SCH,Loudoun County Public Schools,Belmont Station Elementary ,Low Poverty,Non-Title I,7.6,5,6.1,4,3,2
2023 - 2024,SCH,Loudoun County Public Schools,Blue Ridge Middle,Low Poverty,All Schools,2.5,2,3.8,3,1.3,1
2023 - 2024,SCH,Loudoun County Public Schools,Blue Ridge Middle,Low Poverty,Non-Title I,2.5,2,3.8,3,1.3,1
2023 - 2024,SCH,Loudoun County Public Schools,Brambleton Middle,Low Poverty,All Schools,7.3,10,2.2,3,0.7,1
2023 - 2024,SCH,Loudoun County Public Schools,Brambleton Middle,Low Poverty,Non-Title I,7.3,10,2.2,3,0.7,1
2023 - 2024,SCH,Loudoun County Public Schools,Briar Woods High ,Low Poverty,All Schools,2.8,4,8.3,12,1.4,2
2023 - 2024,SCH,Loudoun County Public Schools,Briar Woods High ,Low Poverty,Non-Title I,2.8,4,8.3,12,1.4,2
2023 - 2024,SCH,Loudoun County Public Schools,Broad Run High,Low Poverty,All Schools,2.2,3,7.4,10,1.5,2
2023 - 2024,SCH,Loudoun County Public Schools,Broad Run High,Low Poverty,Non-Title I,2.2,3,7.4,10,1.5,2
2023 - 2024,SCH,Loudoun County Public Schools,Buffalo Trail Elementary,Low Poverty,All Schools,4.5,3,3,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Buffalo Trail Elementary,Low Poverty,Non-Title I,4.5,3,3,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Cardinal Ridge Elementary ,Low Poverty,All Schools,13.8,9,13.8,9,4.6,3
2023 - 2024,SCH,Loudoun County Public Schools,Cardinal Ridge Elementary ,Low Poverty,Non-Title I,13.8,9,13.8,9,4.6,3
2023 - 2024,SCH,Loudoun County Public Schools,Catoctin Elementary,Low Poverty,All Schools,6.9,4,1.7,1,1.7,1
2023 - 2024,SCH,Loudoun County Public Schools,Catoctin Elementary,Low Poverty,Non-Title I,6.9,4,1.7,1,1.7,1
2023 - 2024,SCH,Loudoun County Public Schools,Cedar Lane Elementary,Low Poverty,All Schools,5.9,4,4.4,3,4.4,3
2023 - 2024,SCH,Loudoun County Public Schools,Cedar Lane Elementary,Low Poverty,Non-Title I,5.9,4,4.4,3,4.4,3
2023 - 2024,SCH,Loudoun County Public Schools,Cool Spring Elementary,Medium Poverty,All Schools,8.5,5,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Cool Spring Elementary,Medium Poverty,Title I,8.5,5,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Countryside Elementary,Medium Poverty,All Schools,4.9,3,4.9,3,1.6,1
2023 - 2024,SCH,Loudoun County Public Schools,Countryside Elementary,Medium Poverty,Non-Title I,4.9,3,4.9,3,1.6,1
2023 - 2024,SCH,Loudoun County Public Schools,Creighton's Corner Elementary,Low Poverty,All Schools,5.1,4,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Creighton's Corner Elementary,Low Poverty,Non-Title I,5.1,4,0,0,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Discovery Elementary,Low Poverty,All Schools,7.7,5,3.1,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Discovery Elementary,Low Poverty,Non-Title I,7.7,5,3.1,2,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Dominion High,Medium Poverty,All Schools,3.9,6,10.5,16,2.6,4
2023 - 2024,SCH,Loudoun County Public Schools,Dominion High,Medium Poverty,Non-Title I,3.9,6,10.5,16,2.6,4
2023 - 2024,SCH,Loudoun County Public Schools,Dominion Trail Elementary,Medium Poverty,All Schools,5.4,3,1.8,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Dominion Trail Elementary,Medium Poverty,Non-Title I,5.4,3,1.8,1,0,0
2023 - 2024,SCH,Loudoun County Public Schools,Eagle Ridge Middle,Low Poverty,All Schools,4,4,4,4,1,1
2023 - 2024,SCH,Loudoun County Public Schools,Eagle Ridge Middle,Low Poverty,Non-Title I,4,4,4,4,1,1
