Teacher Educational Attainment,,,,,
,,,,,
,,,,,
Year,Level,Division,School,Year Percent,Type
2023 - 2024,SCH,Henrico County Public Schools,Henry D. Ward Elementary,3,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Hermitage High,44,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Hermitage High,50,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Hermitage High,2,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Highland Springs Elementary,28,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Highland Springs Elementary,47,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Highland Springs Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Highland Springs High,35,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Highland Springs High,55,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Highland Springs High,2,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Holman Middle ,36,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Holman Middle ,63,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Holman Middle ,2,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Hungary Creek Middle ,37,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Hungary Creek Middle ,59,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Hungary Creek Middle ,1,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Jackson Davis Elementary,42,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Jackson Davis Elementary,58,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Jackson Davis Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Jacob L. Adams Elementary,31,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Jacob L. Adams Elementary,60,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Jacob L. Adams Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,John Randolph Tucker High,32,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,John Randolph Tucker High,64,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,John Randolph Tucker High,2,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,John Rolfe Middle,37,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,John Rolfe Middle,52,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,John Rolfe Middle,2,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,L. Douglas Wilder Middle,28,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,L. Douglas Wilder Middle,63,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,L. Douglas Wilder Middle,1,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Laburnum Elementary,31,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Laburnum Elementary,55,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Laburnum Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Lakeside Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Lakeside Elementary,71,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Lakeside Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Longdale Elementary,37,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Longdale Elementary,59,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Longdale Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Maude Trevvett Elementary,41,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Maude Trevvett Elementary,59,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Maude Trevvett Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Maybeury Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Maybeury Elementary,60,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Maybeury Elementary,3,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Mills E. Godwin High,40,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Mills E. Godwin High,57,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Mills E. Godwin High,3,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Montrose Elementary,47,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Montrose Elementary,47,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Montrose Elementary,3,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Nuckols Farm Elementary,21,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Nuckols Farm Elementary,79,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Nuckols Farm Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Pemberton Elementary,39,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Pemberton Elementary,58,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Pemberton Elementary,3,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Pinchbeck Elementary,32,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Pinchbeck Elementary,68,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Pinchbeck Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Pocahontas Middle,42,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Pocahontas Middle,55,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Pocahontas Middle,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Quioccasin Middle,35,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Quioccasin Middle,58,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Quioccasin Middle,1,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,R.C. Longan Elementary,31,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,R.C. Longan Elementary,69,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,R.C. Longan Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Ridge Elementary,22,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Ridge Elementary,78,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Ridge Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Rivers Edge Elementary,40,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Rivers Edge Elementary,58,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Rivers Edge Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Ruby F. Carver Elementary,32,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Ruby F. Carver Elementary,65,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Ruby F. Carver Elementary,3,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Sandston Elementary,14,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Sandston Elementary,86,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Sandston Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Seven Pines Elementary,19,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Seven Pines Elementary,78,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Seven Pines Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Shady Grove Elementary,38,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Shady Grove Elementary,63,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Shady Grove Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Short Pump Elementary,38,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Short Pump Elementary,62,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Short Pump Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Short Pump Middle,34,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Short Pump Middle,64,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Short Pump Middle,1,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Skipwith Elementary,43,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Skipwith Elementary,55,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Skipwith Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Springfield Park Elementary,40,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Springfield Park Elementary,60,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Springfield Park Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Three Chopt Elementary,36,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Three Chopt Elementary,64,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Three Chopt Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Tuckahoe Elementary,34,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Tuckahoe Elementary,66,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Tuckahoe Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Tuckahoe Middle,35,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Tuckahoe Middle,62,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Tuckahoe Middle,2,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Twin Hickory Elementary,50,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Twin Hickory Elementary,47,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Twin Hickory Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Varina Elementary,37,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Varina Elementary,52,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Varina Elementary,4,Doctoral Degree
2023 - 2024,SCH,Henrico County Public Schools,Varina High,37,Bachelor's Degree
2023 - 2024,SCH,Henrico County Public Schools,Varina High,58,Master's Degree
2023 - 2024,SCH,Henrico County Public Schools,Varina High,0,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,Axton Elementary,50,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,Axton Elementary,50,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,Axton Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,Bassett High,50,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,Bassett High,47,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,Bassett High,0,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,Campbell Court Elementary,68,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,Campbell Court Elementary,23,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,Campbell Court Elementary,5,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,Drewry Mason Elementary,52,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,Drewry Mason Elementary,48,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,Drewry Mason Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,Fieldale-Collinsville Middle ,58,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,Fieldale-Collinsville Middle ,41,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,Fieldale-Collinsville Middle ,1,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,G.W. Carver Elementary ,54,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,G.W. Carver Elementary ,46,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,G.W. Carver Elementary ,0,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,Laurel Park Middle ,58,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,Laurel Park Middle ,38,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,Laurel Park Middle ,2,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,Magna Vista High,48,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,Magna Vista High,46,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,Magna Vista High,2,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,Meadow View Elementary,62,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,Meadow View Elementary,38,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,Meadow View Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,Mount Olivet Elementary ,64,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,Mount Olivet Elementary ,36,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,Mount Olivet Elementary ,0,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,Rich Acres Elementary,50,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,Rich Acres Elementary,46,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,Rich Acres Elementary,4,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,Sanville Elementary,59,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,Sanville Elementary,41,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,Sanville Elementary,0,Doctoral Degree
2023 - 2024,SCH,Henry County Public Schools,Stanleytown Elementary,58,Bachelor's Degree
2023 - 2024,SCH,Henry County Public Schools,Stanleytown Elementary,42,Master's Degree
2023 - 2024,SCH,Henry County Public Schools,Stanleytown Elementary,0,Doctoral Degree
2023 - 2024,SCH,Highland County Public Schools,Highland Elementary,46,Bachelor's Degree
2023 - 2024,SCH,Highland County Public Schools,Highland Elementary,46,Master's Degree
2023 - 2024,SCH,Highland County Public Schools,Highland Elementary,0,Doctoral Degree
2023 - 2024,SCH,Highland County Public Schools,Highland High,62,Bachelor's Degree
2023 - 2024,SCH,Highland County Public Schools,Highland High,33,Master's Degree
2023 - 2024,SCH,Highland County Public Schools,Highland High,0,Doctoral Degree
2023 - 2024,SCH,Hopewell City Public Schools,Carter G. Woodson Middle,57,Bachelor's Degree
2023 - 2024,SCH,Hopewell City Public Schools,Carter G. Woodson Middle,28,Master's Degree
2023 - 2024,SCH,Hopewell City Public Schools,Carter G. Woodson Middle,0,Doctoral Degree
2023 - 2024,SCH,Hopewell City Public Schools,Dupont Elementary,57,Bachelor's Degree
2023 - 2024,SCH,Hopewell City Public Schools,Dupont Elementary,31,Master's Degree
2023 - 2024,SCH,Hopewell City Public Schools,Dupont Elementary,0,Doctoral Degree
2023 - 2024,SCH,Hopewell City Public Schools,Harry E. James Elementary,51,Bachelor's Degree
2023 - 2024,SCH,Hopewell City Public Schools,Harry E. James Elementary,39,Master's Degree
2023 - 2024,SCH,Hopewell City Public Schools,Harry E. James Elementary,0,Doctoral Degree
2023 - 2024,SCH,Hopewell City Public Schools,Hopewell High,33,Bachelor's Degree
2023 - 2024,SCH,Hopewell City Public Schools,Hopewell High,48,Master's Degree
2023 - 2024,SCH,Hopewell City Public Schools,Hopewell High,1,Doctoral Degree
2023 - 2024,SCH,Hopewell City Public Schools,Patrick Copeland Elementary,46,Bachelor's Degree
2023 - 2024,SCH,Hopewell City Public Schools,Patrick Copeland Elementary,29,Master's Degree
2023 - 2024,SCH,Hopewell City Public Schools,Patrick Copeland Elementary,4,Doctoral Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Carrollton Elementary,46,Bachelor's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Carrollton Elementary,50,Master's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Carrollton Elementary,0,Doctoral Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Carrsville Elementary,41,Bachelor's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Carrsville Elementary,55,Master's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Carrsville Elementary,0,Doctoral Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Georgie D. Tyler Middle,48,Bachelor's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Georgie D. Tyler Middle,45,Master's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Georgie D. Tyler Middle,0,Doctoral Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Hardy Elementary,35,Bachelor's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Hardy Elementary,60,Master's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Hardy Elementary,0,Doctoral Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Smithfield High,47,Bachelor's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Smithfield High,39,Master's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Smithfield High,0,Doctoral Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Smithfield Middle,46,Bachelor's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Smithfield Middle,46,Master's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Smithfield Middle,0,Doctoral Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Westside Elementary,43,Bachelor's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Westside Elementary,51,Master's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Westside Elementary,0,Doctoral Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Windsor Elementary,38,Bachelor's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Windsor Elementary,57,Master's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Windsor Elementary,0,Doctoral Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Windsor High,43,Bachelor's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Windsor High,47,Master's Degree
2023 - 2024,SCH,Isle of Wight County Public Schools,Windsor High,2,Doctoral Degree
2023 - 2024,SCH,King George County Public Schools,King George Elementary,48,Bachelor's Degree
2023 - 2024,SCH,King George County Public Schools,King George Elementary,52,Master's Degree
2023 - 2024,SCH,King George County Public Schools,King George Elementary,0,Doctoral Degree
2023 - 2024,SCH,King George County Public Schools,King George High,42,Bachelor's Degree
2023 - 2024,SCH,King George County Public Schools,King George High,51,Master's Degree
2023 - 2024,SCH,King George County Public Schools,King George High,1,Doctoral Degree
2023 - 2024,SCH,King George County Public Schools,King George Middle,60,Bachelor's Degree
2023 - 2024,SCH,King George County Public Schools,King George Middle,36,Master's Degree
2023 - 2024,SCH,King George County Public Schools,King George Middle,0,Doctoral Degree
2023 - 2024,SCH,King George County Public Schools,Potomac Elementary,35,Bachelor's Degree
2023 - 2024,SCH,King George County Public Schools,Potomac Elementary,63,Master's Degree
2023 - 2024,SCH,King George County Public Schools,Potomac Elementary,3,Doctoral Degree
2023 - 2024,SCH,King George County Public Schools,Sealston Elementary ,43,Bachelor's Degree
2023 - 2024,SCH,King George County Public Schools,Sealston Elementary ,51,Master's Degree
2023 - 2024,SCH,King George County Public Schools,Sealston Elementary ,0,Doctoral Degree
2023 - 2024,SCH,King William County Public Schools,Acquinton Elementary,56,Bachelor's Degree
2023 - 2024,SCH,King William County Public Schools,Acquinton Elementary,35,Master's Degree
2023 - 2024,SCH,King William County Public Schools,Acquinton Elementary,0,Doctoral Degree
2023 - 2024,SCH,King William County Public Schools,Cool Spring Primary,57,Bachelor's Degree
2023 - 2024,SCH,King William County Public Schools,Cool Spring Primary,38,Master's Degree
2023 - 2024,SCH,King William County Public Schools,Cool Spring Primary,3,Doctoral Degree
2023 - 2024,SCH,King William County Public Schools,Hamilton Holmes Middle,49,Bachelor's Degree
2023 - 2024,SCH,King William County Public Schools,Hamilton Holmes Middle,44,Master's Degree
2023 - 2024,SCH,King William County Public Schools,Hamilton Holmes Middle,0,Doctoral Degree
2023 - 2024,SCH,King William County Public Schools,King William High,36,Bachelor's Degree
2023 - 2024,SCH,King William County Public Schools,King William High,57,Master's Degree
2023 - 2024,SCH,King William County Public Schools,King William High,0,Doctoral Degree
2023 - 2024,SCH,King and Queen County Public Schools,Central High,54,Bachelor's Degree
2023 - 2024,SCH,King and Queen County Public Schools,Central High,27,Master's Degree
2023 - 2024,SCH,King and Queen County Public Schools,Central High,8,Doctoral Degree
2023 - 2024,SCH,King and Queen County Public Schools,King & Queen Elementary,45,Bachelor's Degree
2023 - 2024,SCH,King and Queen County Public Schools,King & Queen Elementary,48,Master's Degree
2023 - 2024,SCH,King and Queen County Public Schools,King & Queen Elementary,2,Doctoral Degree
2023 - 2024,SCH,King and Queen County Public Schools,Lawson-Marriott Elementary,46,Bachelor's Degree
2023 - 2024,SCH,King and Queen County Public Schools,Lawson-Marriott Elementary,52,Master's Degree
2023 - 2024,SCH,King and Queen County Public Schools,Lawson-Marriott Elementary,2,Doctoral Degree
2023 - 2024,SCH,Lancaster County Public Schools,Lancaster Elementary,60,Bachelor's Degree
2023 - 2024,SCH,Lancaster County Public Schools,Lancaster Elementary,38,Master's Degree
2023 - 2024,SCH,Lancaster County Public Schools,Lancaster Elementary,0,Doctoral Degree
2023 - 2024,SCH,Lancaster County Public Schools,Lancaster High,46,Bachelor's Degree
2023 - 2024,SCH,Lancaster County Public Schools,Lancaster High,49,Master's Degree
2023 - 2024,SCH,Lancaster County Public Schools,Lancaster High,0,Doctoral Degree
2023 - 2024,SCH,Lee County Public Schools,Dryden Elementary,52,Bachelor's Degree
2023 - 2024,SCH,Lee County Public Schools,Dryden Elementary,45,Master's Degree
2023 - 2024,SCH,Lee County Public Schools,Dryden Elementary,0,Doctoral Degree
2023 - 2024,SCH,Lee County Public Schools,Elk Knob Elementary,62,Bachelor's Degree
2023 - 2024,SCH,Lee County Public Schools,Elk Knob Elementary,38,Master's Degree
2023 - 2024,SCH,Lee County Public Schools,Elk Knob Elementary,0,Doctoral Degree
2023 - 2024,SCH,Lee County Public Schools,Elydale Middle,44,Bachelor's Degree
2023 - 2024,SCH,Lee County Public Schools,Elydale Middle,44,Master's Degree
2023 - 2024,SCH,Lee County Public Schools,Elydale Middle,0,Doctoral Degree
2023 - 2024,SCH,Lee County Public Schools,Flatwoods Elementary,48,Bachelor's Degree
2023 - 2024,SCH,Lee County Public Schools,Flatwoods Elementary,48,Master's Degree
2023 - 2024,SCH,Lee County Public Schools,Flatwoods Elementary,0,Doctoral Degree
2023 - 2024,SCH,Lee County Public Schools,Jonesville Middle,59,Bachelor's Degree
2023 - 2024,SCH,Lee County Public Schools,Jonesville Middle,34,Master's Degree
2023 - 2024,SCH,Lee County Public Schools,Jonesville Middle,0,Doctoral Degree
2023 - 2024,SCH,Lee County Public Schools,Lee High,47,Bachelor's Degree
2023 - 2024,SCH,Lee County Public Schools,Lee High,39,Master's Degree
2023 - 2024,SCH,Lee County Public Schools,Lee High,0,Doctoral Degree
2023 - 2024,SCH,Lee County Public Schools,Pennington Middle,67,Bachelor's Degree
2023 - 2024,SCH,Lee County Public Schools,Pennington Middle,28,Master's Degree
2023 - 2024,SCH,Lee County Public Schools,Pennington Middle,0,Doctoral Degree
2023 - 2024,SCH,Lee County Public Schools,Rose Hill Elementary,54,Bachelor's Degree
2023 - 2024,SCH,Lee County Public Schools,Rose Hill Elementary,42,Master's Degree
2023 - 2024,SCH,Lee County Public Schools,Rose Hill Elementary,0,Doctoral Degree
2023 - 2024,SCH,Lee County Public Schools,St. Charles Elementary,44,Bachelor's Degree
2023 - 2024,SCH,Lee County Public Schools,St. Charles Elementary,56,Master's Degree
2023 - 2024,SCH,Lee County Public Schools,St. Charles Elementary,0,Doctoral Degree
2023 - 2024,SCH,Lee County Public Schools,Thomas Walker High,54,Bachelor's Degree
2023 - 2024,SCH,Lee County Public Schools,Thomas Walker High,19,Master's Degree
2023 - 2024,SCH,Lee County Public Schools,Thomas Walker High,0,Doctoral Degree
2023 - 2024,SCH,Lexington City Public Schools,Harrington Waddell Elementary,42,Bachelor's Degree
2023 - 2024,SCH,Lexington City Public Schools,Harrington Waddell Elementary,50,Master's Degree
2023 - 2024,SCH,Lexington City Public Schools,Harrington Waddell Elementary,0,Doctoral Degree
2023 - 2024,SCH,Lexington City Public Schools,Lylburn Downing Middle,35,Bachelor's Degree
2023 - 2024,SCH,Lexington City Public Schools,Lylburn Downing Middle,60,Master's Degree
2023 - 2024,SCH,Lexington City Public Schools,Lylburn Downing Middle,5,Doctoral Degree
2023 - 2024,SCH,Loudoun County Public Schools,Aldie Elementary,25,Bachelor's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Aldie Elementary,75,Master's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Aldie Elementary,0,Doctoral Degree
2023 - 2024,SCH,Loudoun County Public Schools,Algonkian Elementary,28,Bachelor's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Algonkian Elementary,72,Master's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Algonkian Elementary,0,Doctoral Degree
2023 - 2024,SCH,Loudoun County Public Schools,Arcola Elementary,16,Bachelor's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Arcola Elementary,84,Master's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Arcola Elementary,0,Doctoral Degree
2023 - 2024,SCH,Loudoun County Public Schools,Ashburn Elementary,14,Bachelor's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Ashburn Elementary,81,Master's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Ashburn Elementary,3,Doctoral Degree
2023 - 2024,SCH,Loudoun County Public Schools,Ball's Bluff Elementary,19,Bachelor's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Ball's Bluff Elementary,81,Master's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Ball's Bluff Elementary,0,Doctoral Degree
2023 - 2024,SCH,Loudoun County Public Schools,Banneker Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Banneker Elementary,71,Master's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Banneker Elementary,0,Doctoral Degree
2023 - 2024,SCH,Loudoun County Public Schools,Belmont Ridge Middle,32,Bachelor's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Belmont Ridge Middle,66,Master's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Belmont Ridge Middle,1,Doctoral Degree
2023 - 2024,SCH,Loudoun County Public Schools,Belmont Station Elementary ,28,Bachelor's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Belmont Station Elementary ,69,Master's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Belmont Station Elementary ,1,Doctoral Degree
2023 - 2024,SCH,Loudoun County Public Schools,Blue Ridge Middle,28,Bachelor's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Blue Ridge Middle,63,Master's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Blue Ridge Middle,5,Doctoral Degree
2023 - 2024,SCH,Loudoun County Public Schools,Brambleton Middle,35,Bachelor's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Brambleton Middle,62,Master's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Brambleton Middle,1,Doctoral Degree
2023 - 2024,SCH,Loudoun County Public Schools,Briar Woods High ,27,Bachelor's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Briar Woods High ,70,Master's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Briar Woods High ,1,Doctoral Degree
2023 - 2024,SCH,Loudoun County Public Schools,Broad Run High,27,Bachelor's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Broad Run High,71,Master's Degree
2023 - 2024,SCH,Loudoun County Public Schools,Broad Run High,1,Doctoral Degree
